CARD_NUM,VERSION,RARITY
1,64,R
2,64,U
3,57,U
4,39,C
5,18,U
5,22,U
6,22,C
6,22,C
7,10,U
7,68,U
8,68,R
9,68,C
10,47,U
11,19,U
11,26,U
12,68,R
13,39,R
14,39,C
15,66,
16,66,
17,66,
18,21,C
19,24,R
20,9,U
20,4,U
21,17,C
22,58,R
22,66,
23,68,C
24,52,R
24,54,R
24,66,
25,10,R
25,34,R
26,44,U
27,21,R
28,14,U
28,52,U
28,5,U
28,10,U
28,18,U
28,23,U
29,66,
30,58,U
30,66,
31,60,R
32,62,C
33,51,C
34,39,C
35,37,C
36,40,C
37,26,R
38,34,R
39,56,U
40,66,
41,62,C
42,17,R
43,66,
44,9,C
44,26,C
45,50,R
46,23,U
47,23,C
48,11,R
49,58,R
49,38,R
49,52,R
49,10,R
49,18,R
49,23,R
50,11,U
51,30,C
52,24,U
53,32,R
53,26,R
54,5,C
54,57,C
55,17,C
56,26,U
57,53,U
58,39,R
59,23,R
60,16,R
61,41,R
63,33,R
64,64,R
65,1,C
65,1,C
86,58,C
86,39,C
87,34,R
88,33,U
88,34,U
89,57,C
90,12,R
91,51,R
92,21,U
93,47,C
94,1,C
94,1,C
95,40,R
96,23,U
97,58,C
97,24,C
98,34,C
99,24,C
100,58,U
100,52,U
100,10,U
100,68,U
101,48,R
102,37,C
103,58,U
103,38,U
103,14,U
103,52,U
103,6,U
103,5,U
103,54,U
103,10,U
103,44,U
103,18,U
103,19,U
103,49,U
103,65,U
103,29,U
103,28,U
104,40,C
105,40,U
106,26,C
107,30,R
108,8,C
109,7,C
110,8,U
111,50,C
112,8,R
113,7,U
114,8,C
115,50,C
116,8,U
117,41,R
118,27,R
119,40,U
120,27,U
121,20,R
122,40,R
123,18,R
123,9,R
123,26,R
124,67,R
125,50,R
126,26,R
127,43,R
127,68,R
128,24,R
129,18,C
129,19,C
129,26,C
130,33,C
131,44,U
132,44,C
133,44,C
134,44,C
135,44,R
136,44,U
137,9,U
137,4,R
138,19,R
138,49,R
138,4,R
139,38,R
139,14,R
139,52,R
139,10,R
139,18,R
139,19,R
139,49,R
139,4,R
140,34,C
141,66,
142,26,R
143,34,U
144,45,U
145,47,R
146,47,C
147,19,U
147,4,U
148,4,R
149,22,C
149,22,C
150,26,R
151,17,R
152,15,C
153,33,C
154,42,U
155,11,R
156,24,U
157,54,R
157,44,R
157,43,R
158,68,C
159,42,U
160,35,C
161,51,U
162,23,R
163,57,R
164,35,R
165,35,U
166,62,R
167,57,R
168,58,R
168,62,R
169,36,C
170,10,R
170,34,R
171,64,R
172,14,U
172,45,R
173,22,C
174,51,R
175,18,C
175,22,C
175,22,C
176,32,R
176,59,U
177,30,C
178,56,R
179,42,C
180,19,C
180,26,C
181,60,C
182,60,C
183,39,R
184,18,C
184,19,C
184,2,C
185,23,R
186,34,R
187,41,U
188,3,C
189,3,U
190,22,R
191,58,C
191,10,C
191,22,C
191,22,C
192,38,C
192,14,C
192,10,C
192,22,C
192,22,C
193,22,R
194,38,U
194,52,U
194,66,
194,43,U
194,43,U
195,38,U
195,39,C
195,15,C
196,23,U
197,3,R
198,58,U
198,25,U
199,40,R
200,68,R
201,33,C
202,52,R
202,10,R
202,43,R
202,34,R
203,65,R
203,29,R
203,28,R
204,39,R
205,60,R
206,30,R
207,54,R
207,44,R
208,35,C
209,60,C
210,37,U
211,24,C
212,51,R
213,57,U
214,38,R
214,52,R
214,66,
215,42,R
