Release Number,Release Name
1,Alliances
2,Antiquities
3,Apocalypse
4,Arabian Nights
5,Battle Royale Box Set
6,Beatdown Box Set
7,Betrayers of Kamigawa
8,Champions of Kamigawa
9,Chronicles
10,Classic Sixth Edition
11,Coldsnap
12,Darksteel
13,Dissension
14,Eighth Edition
15,Exodus
16,Fallen Empires
17,Fifth Dawn
18,Fifth Edition
19,Fourth Edition
20,Future Sight
21,Guildpact
22,Homelands
23,Ice Age
24,Invasion
25,Judgment
26,Legends
27,Legions
28,Limited Edition Alpha
29,Limited Edition Beta
30,Lorwyn
31,Magic Online Promo Cards
32,Masters Edition (Magic Online only)
33,Mercadian Masques
34,Mirage
35,Mirrodin
36,Morningtide
37,Nemesis
38,Ninth Edition
39,Odyssey
40,Onslaught
41,Planar Chaos
42,Planeshift
43,Portal
44,Portal Second Age
45,Portal Three Kingdoms
46,Promo set for Gatherer
47,Prophecy
48,Ravnica: City of Guilds
49,Revised Edition
50,Saviors of Kamigawa
51,Scourge
52,Seventh Edition
53,Shadowmoor
54,Starter 1999
55,Starter 2000
56,Stronghold
57,Tempest
58,Tenth Edition
59,The Dark
60,Time Spiral
61,Time Spiral 'Timeshifted'
62,Torment
63,Unglued
64,Unhinged
65,Unlimited Edition
66,Urza
67,Visions
68,Weatherlight
69,Eventide
