Pokedex ID,Species,Type,Attack,Defense,XP,Special Attack,Special Defense,Health
ID,Species,Type,Attack,Defense,XP,Special Attack,Special Defense,Health
1,BULBASAUR,GRASS,5,5,7,7,5,100
3,VENUSAUR,GRASS,8,8,10,10,8,100
4,CHIKORITA,GRASS,5,7,5,7,5,100
5,BAYLEEF,GRASS,6,8,6,8,6,100
6,MEGANIUM,GRASS,8,10,8,10,8,100
7,TREECKO,GRASS,5,4,7,6,7,100
8,GROVYLE,GRASS,7,5,9,6,7,100
9,SCEPTILE,GRASS,9,7,11,9,12,100
10,TURTWIG,GRASS,7,6,5,6,3,100
11,GROTLE,GRASS,9,9,6,7,4,100
12,TORTERRA,GRASS,11,11,8,9,4,100
13,SNIVY,GRASS,5,6,5,6,6,100
14,SERVINE,GRASS,6,8,6,8,8,100
15,SERPERIOR,GRASS,8,10,8,10,11,100
16,CHARMANDER,FIRE,5,4,6,5,7,100
17,CHARMELEON,FIRE,6,6,8,7,8,100
18,CHARIZARD,FIRE,8,8,11,9,10,100
19,CYNDAQUIL,FIRE,5,4,6,5,7,100
20,QUILAVA,FIRE,6,6,8,7,8,100
21,TYPHLOSION,FIRE,8,8,11,9,10,100
22,TORCHIC,FIRE,6,4,7,5,5,100
23,COMBUSKEN,FIRE,9,6,9,6,6,100
24,BLAZIKEN,FIRE,12,7,11,7,8,100
25,CHIMCHAR,FIRE,6,4,6,4,6,100
26,MONFERNO,FIRE,8,5,8,5,8,100
27,INFERNAPE,FIRE,10,7,10,7,10,100
28,TEPIG,FIRE,6,5,5,5,5,100
29,PIGNITE,FIRE,9,6,7,6,6,100
30,EMBOAR,FIRE,12,7,10,7,7,100
31,SQUIRTLE,WATER,5,7,5,6,4,100
32,WARTORTLE,WATER,6,8,7,8,6,100
33,BLASTOISE,WATER,8,10,9,11,8,100
34,TOTODILE,WATER,7,6,4,5,4,100
35,CROCONAW,WATER,8,8,6,6,6,100
36,FERALIGATR,WATER,11,10,8,8,8,100
37,MUDKIP,WATER,7,5,5,5,4,100
38,MARSHTOMP,WATER,9,7,6,7,5,100
39,SWAMPERT,WATER,11,9,9,9,6,100
40,PIPLUP,WATER,5,5,6,6,4,100
41,PRINPLUP,WATER,7,7,8,8,5,100
42,EMPOLEON,WATER,9,9,11,10,6,100
43,OSHAWOTT,WATER,6,5,6,5,5,100
44,DEWOTT,WATER,8,6,8,6,6,100
45,SAMUROTT,WATER,10,9,8,7,7,100
46,CATERPIE,BUG,3,4,2,2,5,100
